"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"989412","7","6","13","12","QUEENS","305813.7948717949","(40.5973482480001, -73.748175176)"
"1058334","6","6","12","18","BRONX","80357.8125","(40.8177098290001, -73.923973014)"
"1068457","4","8","19","13","MANHATTAN","1506192.0454545454","(40.7645355390001, -73.9707283879999)"
"1023319","1","8","23","1","QUEENS","303412.5128205128","(40.713139546, -73.778636792)"
"1084644","1","3","22","14","BROOKLYN","735019.1836734693","(40.680890516, -73.9448673699999)"
"1089801","4","6","17","19","BRONX","80357.8125","(40.8307989140001, -73.826948796)"
"834047","5","5","7","15","BRONX","80687.5","(40.8666713490001, -73.865364109)"
"1036816","2","8","31","10","BRONX","79593.75","(40.8684328620001, -73.8851342099999)"
"1035981","5","12","17","15","BROOKLYN","823153.0408163265","(40.6679290160001, -73.956067132)"
"1050760","1","9","27","12","QUEENS","366240.46153846156","(40.6937767360001, -73.800514537)"
"1035401","4","10","21","21","BROOKLYN","807918.918367347","(40.686873609, -73.964470455)"
"1055367","3","2","17","21","MANHATTAN","1449851.1363636365","(40.7429294990001, -73.990795459)"
"1116743","5","10","29","17","MANHATTAN","1600241.9318181819","(40.738586985, -73.9874545499999)"
"1100871","3","11","10","17","QUEENS","357619.8717948718","(40.757618468, -73.781535466)"
"1109874","4","4","8","9","BRONX","77496.875","(40.8462720270001, -73.8850351299999)"
"1060833","4","6","24","3","MANHATTAN","1557062.2727272727","(40.78295023, -73.9480399399999)"
"1108684","1","10","4","3","BROOKLYN","807918.918367347","(40.7063981970001, -73.959352821)"
"934779","6","7","3","14","MANHATTAN","1487719.0909090908","(40.7189708870001, -74.001274887)"
"1006101","3","5","26","1","MANHATTAN","1471835.2159090908","(40.720936141, -73.9994494859999)"
"1084140","7","7","18","13","BROOKLYN","789217.3469387755","(40.680890516, -73.9448673699999)"
"1087398","6","4","10","0","QUEENS","284660.3846153846","(40.7513788380001, -73.853870704)"
"1101197","4","11","11","21","BRONX","98031.25","(40.838677553, -73.906446586)"
"1081273","4","2","4","0","QUEENS","232387.38461538462","(40.778294676, -73.777239497)"
"837059","1","5","10","3","QUEENS","315149.8461538461","(40.747301899, -73.887183659)"
"834606","1","6","7","19","QUEENS","305813.7948717949","(40.733343522, -73.713761489)"
"973654","5","7","16","3","BROOKLYN","789217.3469387755","(40.6983925340001, -73.932010625)"
"1098119","2","5","25","0","MANHATTAN","1471835.2159090908","(40.8313939000001, -73.935715955)"
"1095557","7","7","11","21","BROOKLYN","789217.3469387755","(40.6876256670001, -74.0009641899999)"
"735184","6","8","7","21","QUEENS","303412.5128205128","(40.743685869, -73.8587306169999)"
"913542","1","4","26","0","MANHATTAN","1557982.8295454546","(40.7504307680001, -73.989282176)"
"975804","4","5","6","17","QUEENS","315149.8461538461","(40.703059807, -73.8672489909999)"
"1097211","1","9","20","22","MANHATTAN","1554646.5909090908","(40.8191058470001, -73.940930411)"
"1092102","5","9","3","14","QUEENS","366240.46153846156","(40.7410162300001, -73.857321676)"
"1111760","1","11","29","0","BRONX","98031.25","(40.841989922, -73.924494618)"
"1066188","7","4","18","6","BROOKLYN","735071.4285714285","(40.5782071720001, -73.963642686)"
"830105","3","5","5","14","QUEENS","315149.8461538461","(40.7033662060001, -73.814836676)"
"1024892","7","5","16","8","BROOKLYN","757306.1224489796","(40.6970339900001, -73.971630744)"
"1006379","1","1","25","14","BRONX","70562.5","(40.822070469, -73.907922388)"
"1107829","2","3","2","17","BRONX","75996.8125","(40.833781835, -73.9265781989999)"
"1089811","4","6","17","20","QUEENS","305813.7948717949","(40.719590092, -73.758330252)"
"865986","6","10","9","12","BRONX","807918.918367347","(40.8048802120001, -73.91499706)"
"1097412","4","9","23","20","QUEENS","366240.46153846156","(40.754989552, -73.8444349379999)"
"1006525","6","12","11","7","MANHATTAN","1682289.6590909092","(40.75557215, -73.997489264)"
